"name","Registered","dob","id","faculty","password"
"Ashley Rodriguez","True","16/10/1969","Ashley17619","fa1","gtwRP58"
"Jonathan Hill","False","11/8/1989","Jonathan38122","fa4","QFhji03"
"Margaret Nolan","True","20/9/1982","Margaret40764","fa1","uuBaf44"
"John Hudson","True","9/3/1962","John45349","fa3","CEfhd78"
"Jennifer Davis","True","12/1/1992","Jennifer20121","fa2","UpxDd47"
"Francisco Reynolds","True","1/7/1976","Francisco20862","fa4","XYMxo62"
"Jennifer Stanley","True","10/3/1948","Jennifer38523","fa1","rNbkN47"
"Bryan Hunter","True","6/4/1943","Bryan30702","fa3","jZIJU79"
"Lisa Jordan","False","9/5/1955","Lisa31938","fa3","stKlh82"
"Michael Nunez","False","6/10/1978","Michael24859","fa2","eXlwa24"
"Whitney Martinez","False","3/11/1962","Whitney8826","fa3","XEIYZ78"
"Lawrence Kelley","True","13/5/1946","Lawrence43750","fa4","MrhOG34"
"Traci Farmer","False","30/7/1981","Traci37098","fa3","ENxws31"
"Chris Lee","True","10/6/1972","Chris10","fa3","bNcMh80"
"Tina Barnes","False","28/10/2001","Tina36771","fa2","wCoUl32"
"Harry Holmes","False","29/7/1981","Harry35449","fa2","xLseH84"
"Wendy Hayes","False","3/3/1984","Wendy9273","fa4","GeAGG78"
"Daniel Robertson","True","29/3/1993","Daniel27089","fa1","zUdsd68"
"Amber Owens","True","28/5/1944","Amber25511","fa1","Rdtmz42"
"Jeffrey Perry","True","2/1/1986","Jeffrey40127","fa1","PuKKq03"
"Robin Rodriguez","True","10/3/1970","Robin49267","fa1","hkwPR59"
"Kyle Sweeney","True","23/6/1948","Kyle21818","fa2","hDVST73"
"Shannon Ramirez","True","3/4/1962","Shannon37816","fa3","cEETN00"
"Richard Oliver","True","3/4/1953","Richard42870","fa2","QEXZz59"
"Lindsey Conrad","True","27/11/1942","Lindsey21978","fa3","hOXUs32"
"Michael Moore","True","15/9/1958","Michael17419","fa4","PeApG26"
"Elizabeth Mcdaniel","True","7/8/1981","Elizabeth35632","fa3","lFash03"
"Benjamin Henry","True","27/4/1985","Benjamin37207","fa2","tULYw98"
"Alexandra Mills","True","26/9/1942","Alexandra36903","fa2","DAddz19"
"Larry Mccoy","False","20/12/2001","Larry19476","fa4","PVolT59"
"Lauren Anderson","True","4/6/1964","Lauren25052","fa2","SRkiV32"
"George Ibarra","True","2/9/1989","George46707","fa2","PWHUE16"
"Kelly Holland","True","22/9/1972","Kelly30796","fa3","fklpL80"
"Sergio Smith","True","22/12/1995","Sergio30368","fa2","jCgOx52"
"Lynn Murphy","False","4/1/2000","Lynn17781","fa4","DClGe74"
"Joseph Williams","False","9/8/1998","Joseph18148","fa2","PVPiu93"
"Andrea Smith","False","19/8/1948","Andrea26212","fa1","EvVSB42"
"Johnny Neal","False","8/8/1944","Johnny46248","fa2","EioDv26"
"Stacey Monroe","False","18/5/1974","Stacey34264","fa1","XTbPy05"
"Daniel Martin","False","2/3/1962","Daniel22403","fa4","AQwWv35"
"Joyce Hughes","False","23/12/1969","Joyce45298","fa2","HDXtJ66"
"Patrick Armstrong","False","15/9/1989","Patrick47047","fa2","yFkns88"
"Jessica Brown","False","5/2/1997","Jessica24650","fa2","LiUNg42"
"Ernest Guzman","False","15/11/1957","Ernest36222","fa1","xdSnz17"
"Elizabeth Anderson","True","19/2/1963","Elizabeth20678","fa2","YxlYE00"
"Benjamin Christensen","True","7/1/1943","Benjamin23410","fa3","gmhTd05"
"Ruth Wilson","False","13/9/1966","Ruth13740","fa2","qRUCm14"
"Jesse Moreno","False","1/12/2001","Jesse41762","fa3","meLgw07"
"Ashley Ramos","False","9/8/1971","Ashley32566","fa2","AySHd22"
"Brandon Calhoun","False","4/9/1984","Brandon43502","fa1","rYeQj64"
"Donna Keith","True","10/5/1946","Donna39420","fa3","ppRtd63"
"Shane Moran","True","12/4/1988","Shane31784","fa4","UicDT51"
"Kim Carter","True","27/7/1952","Kim20479","fa2","nSkbO03"
"Jon Bishop","False","18/1/1966","Jon44850","fa1","BBmHv87"
"Kim Archer","False","19/10/1979","Kim24548","fa4","FGUCu69"
"Jeffrey Reyes","True","19/1/1967","Jeffrey15835","fa2","MoLls32"
"Rhonda Harris","True","7/7/1941","Rhonda14571","fa3","MqgyC58"
"Trevor Montgomery","False","3/2/1951","Trevor628","fa4","BieWX05"
"Angela Huang","False","8/12/1964","Angela24272","fa4","QULwr99"
"Shawn Owens","False","10/3/1946","Shawn10392","fa3","qxJGt35"
"Kristin Bautista","True","4/7/1978","Kristin45908","fa1","SujBE03"
"Robert Trevino","True","8/5/1991","Robert905","fa2","fogfJ63"
"Brandi Kirk","True","20/12/1946","Brandi26583","fa3","jVKtj03"
"Scott Neal","True","26/11/1953","Scott10837","fa1","rqjeJ05"
"Dawn Parks","False","14/7/1987","Dawn17767","fa4","eiLbj55"
"Kenneth Johnson","True","7/7/1969","Kenneth14397","fa1","EiqPC33"
"Cynthia Morrison","True","17/9/1946","Cynthia49233","fa1","PsYXh20"
"Robert Phelps","False","17/3/1947","Robert34957","fa1","vAstX47"
"Brianna Hunter","True","10/8/1940","Brianna28087","fa2","IPkYK80"
"Dustin Johnston","True","20/3/1952","Dustin49505","fa3","MZoDn20"
"Mary Hunter","False","20/6/1952","Mary27901","fa4","JygNS67"
"Michael Le","True","22/7/1979","Michael43173","fa3","pdEnz50"
"Lorraine Gonzales","False","11/7/1994","Lorraine4000","fa3","yfPDC97"
"Michael Johnson","True","26/8/1985","Michael10179","fa3","mFKsY72"
"Heather Peterson","True","1/6/1959","Heather44839","fa4","RwBTX29"
"Larry Ritter","False","4/8/1940","Larry9706","fa4","CbWbT44"
"Lisa Gill","True","30/2/1999","Lisa31338","fa4","TDvYN22"
"Richard Ramirez","False","11/7/1971","Richard14197","fa4","mzvFv18"
"Rachel Edwards","True","15/8/2000","Rachel2108","fa3","XFyYD76"
