"name","Registered","dob","id","position","faculty","password"
"Susan Proctor","True","12/8/1947","Susan24501","GSU Officers","fa4","lydqp42"
"Gregory Rivas","True","30/12/1948","Gregory44261","GSU Officers","fa1","Uojjz76"
"Ronald Reilly","True","6/7/1950","Ronald6558","GSU Officers","fa2","quSXD47"
"Tanya Neal","False","1/12/1984","Tanya41060","GSU Officers","fa3","XueSK73"
"Justin Sandoval","True","22/6/1985","Justin19732","GSU Officers","fa2","TIYsM17"
"Teresa Miranda","True","12/2/1946","Teresa13213","GSU Officers","fa2","ZQOuU86"
"David Powers","False","2/6/1965","David31727","GSU Officers","fa1","Wotmx84"
"David Parrish","False","9/11/1958","David2807","GSU Officers","fa4","uHPAf30"
"Michael Snyder","True","10/2/1952","Michael21383","GSU Officers","fa1","rXEqB59"
"Paul Jimenez","False","6/7/1993","Paul45540","GSU Officers","fa2","oWmCp16"
"Ryan Underwood","False","16/3/1940","Ryan32344","GSU Officers","fa4","FmCot81"
"Harry Howard","False","18/10/1964","Harry20752","GSU Officers","fa3","bWdxT12"
"Jennifer Fisher","True","14/2/1972","Jennifer41513","President","fa2","FQCxT79"
"Samantha Finley","True","2/7/1945","Samantha8641","President","fa4","PgbzA92"
"Kenneth Green","True","11/11/1999","Kenneth10976","President","fa1","cVFlU25"
"David Boyer","True","16/1/1960","David7161","President","fa3","NEJZW39"
"Dylan Robinson","True","20/8/1947","Dylan24445","Faculty Officer","fa3","rzodl70"
"Rebecca Miller","True","12/4/1947","Rebecca309","Faculty Officer","fa1","EEnyt27"
"Linda Watkins","False","7/11/1968","Linda40575","Faculty Officer","fa2","NgyFi97"
"Hannah Castillo","True","28/2/1951","Hannah46084","Faculty Officer","fa1","cpzyc84"
"Laura Nelson","False","22/6/1994","Laura13846","Faculty Officer","fa2","MKnHP01"
"Sandra Bass","False","5/6/1972","Sandra28202","Faculty Officer","fa3","rLmfQ77"
"Nathaniel Gross","True","11/10/1969","Nathaniel5748","Faculty Officer","fa2","iKpPI99"
"Phillip Williams","False","24/9/1962","Phillip25999","Faculty Officer","fa3","SgCWy07"
"Thomas Waters","True","2/11/1983","Thomas20248","Faculty Officer","fa2","sPVrE81"
"Amber Key","True","27/6/1947","Amber37859","Faculty Officer","fa4","faQHC07"
"Rebecca Douglas","False","29/4/1984","Rebecca39457","Faculty Officer","fa1","crEnW85"
"Benjamin Ayers","True","13/11/1975","Benjamin29379","Faculty Officer","fa1","kqNSX55"
"Richard Henderson","False","21/5/1987","Richard48534","Faculty Officer","fa2","CsBVt75"
"Patrick Hudson","True","21/8/1971","Patrick49018","Faculty Officer","fa2","tYmaE90"
"Kevin Mitchell","False","18/10/1996","Kevin28420","Faculty Officer","fa2","gfOLv03"
"Faith Porter","True","10/7/1943","Faith17718","Faculty Officer","fa2","CifDf75"
"Brittany Rodriguez","True","7/11/1943","Brittany46978","Faculty Officer","fa4","lINod88"
"Amy Anderson","True","21/10/1997","Amy14650","Faculty Officer","fa4","DafZi75"
"Ryan Scott","True","12/5/1999","Ryan11171","Faculty Officer","fa1","errov80"
"Cassandra Brown","False","4/10/1955","Cassandra5627","Faculty Officer","fa4","MUnUV18"
"William Hardy","False","23/5/1945","William32780","Faculty Officer","fa2","ggfTZ11"
"Melissa Brown","True","1/11/1945","Melissa19539","Faculty Officer","fa2","aVzHD48"
"Valerie Ross","False","29/12/1984","Valerie41136","Faculty Officer","fa1","rcEif62"
"Emily Riggs","True","3/12/1956","Emily37393","Faculty Officer","fa1","FMJvd32"
"Shane Hart","False","4/9/1996","Shane46924","Faculty Officer","fa1","tKdhO21"
"Patrick Lowe","True","13/12/1982","Patrick7271","Faculty Officer","fa3","mPHGu16"
"Barbara Rivera","False","24/3/1948","Barbara18167","Faculty Officer","fa3","HdbRk07"
"Carrie Schmitt","False","11/7/1985","Carrie6625","Faculty Officer","fa2","ctaUq24"
"Nathan Rodriguez","False","29/5/1982","Nathan8195","Faculty Officer","fa3","mmkki86"
"Lisa Day","False","28/2/1999","Lisa10838","Faculty Officer","fa3","sUCls85"
"Amy Chandler","True","12/10/1948","Amy5727","Faculty Officer","fa4","YNvCe91"
"Dana Mueller","True","9/5/1967","Dana49682","Faculty Officer","fa2","qYSxZ71"
"Lucas White","True","5/7/1981","Lucas28277","Faculty Officer","fa3","NvZsD50"
"Juan Hardin","False","26/7/2001","Juan1098","Faculty Officer","fa2","YuyqN05"
"Sheila Wright","True","28/12/1959","Sheila3161","Faculty Officer","fa1","JSEqe38"
"Matthew Cantu","True","23/3/1963","Matthew20587","Faculty Officer","fa1","gKMqJ20"
"Erica Wong","True","22/5/1968","Erica48128","Faculty Officer","fa1","dIpdn13"
"Heather Sanchez","False","13/11/2001","Heather11842","Faculty Officer","fa3","ifIbe67"
"Andrew Anderson","True","7/10/1972","Andrew4196","Faculty Officer","fa4","sIrtB26"
"George Leon","False","5/3/1981","George6337","Faculty Officer","fa1","hwJjx59"
"John Hendrix","True","20/11/1949","John42478","Faculty Officer","fa4","dJrqt16"
"Christian Mason","False","10/2/1980","Christian3832","Faculty Officer","fa2","fuSQW45"
"William Rosales","True","8/11/1942","William7569","Faculty Officer","fa3","oJgmE77"
"Tanya Thompson","True","18/9/1948","Tanya10743","Faculty Officer","fa2","IaCjx10"
"Vincent Brooks","False","8/1/1948","Vincent29829","Faculty Officer","fa4","eMYzG58"
"Bruce Rivera","True","30/5/1989","Bruce41321","Faculty Officer","fa3","OxitC61"
"Brenda Holden","True","30/2/1956","Brenda12710","Faculty Officer","fa2","IvUZr27"
"Thomas Coleman","True","25/12/1949","Thomas29669","Faculty Officer","fa1","FKbHN28"
"Peter Ellis","True","10/6/1994","Peter3338","Faculty Officer","fa1","VkLbv63"
"Luis Johnson","True","17/10/1963","Luis1313","Faculty Officer","fa4","UmcJG09"
"Melissa Mann","True","23/3/1987","Melissa18016","Faculty Officer","fa3","GHgdR68"
"Rebecca Moore","True","25/10/1982","Rebecca38250","Faculty Officer","fa3","lwXve80"
"Kenneth Miller","False","10/5/1965","Kenneth27839","Faculty Officer","fa4","fRLyo11"
"Joseph Vargas","True","10/8/1957","Joseph15014","Faculty Officer","fa1","DQOhW53"
"Martin Randolph","False","21/12/1981","Martin17671","Faculty Officer","fa4","voDkA05"
"Erica Cox","True","1/7/1994","Erica26974","Faculty Officer","fa2","uPMzG38"
"Lisa Rogers","False","28/10/1941","Lisa3660","Faculty Officer","fa3","HVXtP86"
"Richard Hall","True","23/11/1972","Richard1096","Faculty Officer","fa3","BYHEN68"
"John Davis","False","30/4/1994","John45182","Faculty Officer","fa2","QWrMm45"
"Chelsea Williams","False","10/5/1958","Chelsea27185","Faculty Officer","fa3","urSwc40"
"Jesus Zuniga","False","6/3/1953","Jesus13888","Faculty Officer","fa1","xuOZv45"
"Joseph Ortega","True","10/7/1999","Joseph14101","Faculty Officer","fa3","waUAb74"
"Antonio Coleman","True","8/2/2001","Antonio5230","Faculty Officer","fa4","RBcoP86"
"Amber Hernandez","True","5/7/1972","Amber28912","Faculty Officer","fa1","HqsOP34"
