"name"                  ,"registered","dob"       ,"id"              ,"faculty","password"
"Jessica White"         ,"True"      ,"7/2/1988"  ,"Jessica44632"    ,"fa4"    ,"lfEso14"
"Anthony Smith"         ,"True"      ,"18/6/1968" ,"Anthony30271"    ,"fa4"    ,"IUfJM24"
"Maria Ortega"          ,"True"      ,"15/5/1995" ,"Maria18143"      ,"fa3"    ,"FshQV70"
"John Vargas"           ,"False"     ,"9/3/1947"  ,"John12067"       ,"fa4"    ,"bXMCo60"
"Susan Walton"          ,"True"      ,"6/11/1981" ,"Susan21775"      ,"fa3"    ,"FXpFy61"
"Nicholas Oliver"       ,"False"     ,"9/2/1950"  ,"Nicholas26814"   ,"fa4"    ,"GaCll25"
"Sarah Harper"          ,"True"      ,"11/9/1965" ,"Sarah7226"       ,"fa4"    ,"mooMY03"
"Adrian Bonilla"        ,"False"     ,"8/5/1995"  ,"Adrian26379"     ,"fa3"    ,"IybPm45"
"Brandy Riddle"         ,"True"      ,"7/8/1956"  ,"Brandy23052"     ,"fa4"    ,"xFKIu01"
"Jordan Wright"         ,"False"     ,"12/1/1942" ,"Jordan21546"     ,"fa3"    ,"SXXYP05"
"Bonnie Washington"     ,"False"     ,"22/7/1995" ,"Bonnie47460"     ,"fa3"    ,"VLFCk58"
"Benjamin Meyer"        ,"True"      ,"13/10/1953","Benjamin18019"   ,"fa4"    ,"ogGMI13"
"Brenda Hernandez"      ,"False"     ,"30/5/1960" ,"Brenda6522"      ,"fa3"    ,"ZvoZE02"
"Kevin Wright"          ,"True"      ,"6/1/2000"  ,"Kevin45515"      ,"fa4"    ,"Etocx03"
"Rebecca Griffin"       ,"True"      ,"24/7/1991" ,"Rebecca16941"    ,"fa1"    ,"uaUae27"
"Christopher Jones"     ,"True"      ,"23/3/1954" ,"Christopher43563","fa3"    ,"cHwXN89"
"Emily Chan"            ,"True"      ,"2/12/1957" ,"Emily34795"      ,"fa3"    ,"IwIMB35"
"Tom Lee"               ,"True"      ,"28/12/1997","Tom46453"        ,"fa1"    ,"lbqPW22"
"Heidi Kelly"           ,"True"      ,"10/10/1987","Heidi16236"      ,"fa1"    ,"ekoIn87"
"Scott Mitchell"        ,"True"      ,"13/12/1984","Scott23908"      ,"fa2"    ,"hwqIF26"
"Jodi Ware"             ,"False"     ,"8/4/2001"  ,"Jodi215"         ,"fa4"    ,"XBbBH32"
"Nathan Welch"          ,"False"     ,"11/9/1950" ,"Nathan39067"     ,"fa1"    ,"ouzHJ54"
"Emily Riggs"           ,"True"      ,"3/12/1956" ,"Emily37393"      ,"fa1"    ,"FMJvd32"
"Andrew Pace"           ,"True"      ,"7/11/1966" ,"Andrew8249"      ,"fa1"    ,"uhpDM80"
"Lisa Santos"           ,"False"     ,"9/6/1948"  ,"Lisa3306"        ,"fa3"    ,"IxjHa03"
"Nathaniel Gross"       ,"True"      ,"11/10/1969","Nathaniel5748"   ,"fa2"    ,"iKpPI99"
"Heather Fischer"       ,"False"     ,"25/10/1976","Heather20013"    ,"fa2"    ,"GOgVn46"
"William Hughes"        ,"False"     ,"29/4/1967" ,"William29827"    ,"fa3"    ,"wyuxO10"
"Jessica Robertson"     ,"True"      ,"28/10/1964","Jessica15675"    ,"fa4"    ,"nttVU96"
"Tyler King"            ,"False"     ,"5/11/1942" ,"Tyler33979"      ,"fa3"    ,"TyEav39"
"Crystal Johnson"       ,"False"     ,"16/7/1959" ,"Crystal48275"    ,"fa3"    ,"IKSKC39"
"Steven Preston"        ,"False"     ,"8/4/1952"  ,"Steven10970"     ,"fa3"    ,"mYIqh01"
"Emily Ellis"           ,"False"     ,"15/4/1978" ,"Emily13090"      ,"fa4"    ,"RySwQ05"
"Richard Henderson"     ,"False"     ,"21/5/1987" ,"Richard48534"    ,"fa2"    ,"CsBVt75"
"Lindsay Hampton"       ,"True"      ,"11/5/1969" ,"Lindsay41723"    ,"fa1"    ,"aIYgp29"
"Paul Jones"            ,"True"      ,"7/4/1966"  ,"Paul43112"       ,"fa3"    ,"zsavx00"
"Tammy Martin"          ,"False"     ,"16/3/1956" ,"Tammy20339"      ,"fa2"    ,"zvSMe10"
"William Murray"        ,"True"      ,"14/12/1968","William24911"    ,"fa4"    ,"GcCIb22"
"Brittney Phillips"     ,"False"     ,"3/5/1998"  ,"Brittney33343"   ,"fa1"    ,"TOGLI84"
"Andrew Wright"         ,"False"     ,"9/5/1998"  ,"Andrew663"       ,"fa2"    ,"nCWrd75"
"Krystal Adams"         ,"True"      ,"13/3/1959" ,"Krystal11915"    ,"fa4"    ,"fxcpe20"
"Maurice Marshall"      ,"True"      ,"9/6/1949"  ,"Maurice4552"     ,"fa1"    ,"WDTCR23"
"Amy Ramsey"            ,"True"      ,"5/12/1990" ,"Amy33866"        ,"fa4"    ,"MtjYc38"
"John Richardson"       ,"True"      ,"23/5/1985" ,"John4517"        ,"fa1"    ,"wPdsO07"
"Tracy Hill"            ,"False"     ,"26/11/1958","Tracy49209"      ,"fa1"    ,"YyfQk26"
"Jose Summers"          ,"False"     ,"9/1/1949"  ,"Jose8718"        ,"fa4"    ,"AzaOM46"
"Jennifer Jones"        ,"True"      ,"14/12/1944","Jennifer24856"   ,"fa3"    ,"Kgqzg34"
"Melvin Kim"            ,"False"     ,"21/3/1946" ,"Melvin24678"     ,"fa3"    ,"zFaPC97"
"Candice Morrison"      ,"True"      ,"23/3/1969" ,"Candice49303"    ,"fa1"    ,"ClJBS78"
